Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,16912,366.882,30,125726,5.18
YyS7cqFRUvI,Happy Days Theme (Sitcom Cover) - Dead Dogs 50's Party,"Jul 27, 2016",4877,66.985,0,22645,9.31
2_44dIc7J0k,Get Over It (Eagles Cover) - Dead Dogs 2017 1st Country Event,"Jul 14, 2017",1408,28.2119,2,5712,9.19
coeL6tmZ-ow,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2018 Halloween Party","Mar 4, 2019",769,19.6762,1,6717,7.67
wFeYRHSxT2w,Get Over It (Eagles Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",511,8.6828,0,8494,3.56
Q9LfyV8U80g,Country As Boy Can Be (Brady Seals Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",257,7.2635,0,1453,4.82
rZfCO3Jxb5E,Whole Lotta Shakin' Goin' On (Jerry Lee Lewis Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",229,7.0826,1,3023,4.3
pF-XLtJF8Zo,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs 2017 1st Country Event","Jul 12, 2017",205,4.2604,0,2427,4.16
OjQcBuEo7WE,High Voltage (AC/DC Cover) - Dead Dogs Camilla's Degree Party,"Jul 28, 2017",195,12.4842,0,1240,5.97
mSMAb8gzsyE,Harden My Heart (Quarterflash Cover) - Dead Dogs 50's Party,"Jul 27, 2016",194,3.275,0,1121,3.84
Yza22aFs45g,Redneck Woman (Gretchen Wilson Cover) - Dead Dogs 2017 1st Country Event,"Jul 12, 2017",178,4.0116,0,1378,2.25
mu6ksUWAtFY,Waterloo (Abba Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",175,2.6387,0,1441,5.83
eplD0ETmqcg,Call Me The Breeze (J.J. Cale Cover) - Dead Dogs 2017 Christmas Party,"Dec 28, 2017",173,7.3088,4,897,9.03
29laglX3M1g,Svalutation (Adriano Celentano Cover) - Dead Dogs 2019 Christmas Party,"Jan 24, 2020",163,3.3972,0,2291,4.76
N28-rGaUiSs,Rome Wasn't Built In A Day (Morcheeba Cover) - Dead Dogs Camilla's Degree Party,"Oct 18, 2016",159,6.707,1,472,6.99
ep60OAxxi_M,Sweet Home Alabama (Lynyrd Skynyrd Cover) - Dead Dogs 2016 Christmas Party,"Jan 24, 2017",159,6.3611,0,372,1.88
TM1g9NfG4Xs,"Bad Case Of Loving You (Doctor, Doctor) (Robert Palmer Cover) - Dead Dogs Camilla's Degree Party","Oct 18, 2016",156,2.3498,0,2810,3.63
